block,lot,parcel_number,property_address,address,tier,status,bos_district,point,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
0074,045,0074045,2160 TAYLOR ST,"2160 TAYLOR ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.414227873267 37.802455697177),107,107,6,3,32
0540,049,0540049,2134 GREEN ST,"2134 GREEN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.434250254434 37.796578366632),15,15,4,6,13
3726,073,3726073,566 NATOMA ST,"566 NATOMA ST, SAN FRANCISCO CA",3,Non-Compliant,6,POINT (-122.409321252681 37.77911153672),32,32,1,10,34
0254,022,0254022,920 TAYLOR ST,"920 TAYLOR ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.412032735797 37.791068852434),16,16,6,3,21
0775,003,0775003,1025 STEINER ST,"1025 STEINER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.433807258495 37.778779339898),97,97,4,11,39
3643,008,3643008,2766 MISSION ST,"2766 MISSION ST, SAN FRANCISCO CA",4,Non-Compliant,9,POINT (-122.418851539652 37.752750161568),53,53,3,2,20
6551,019,6551019,3860 26TH ST,"3860 26TH ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.426264769699 37.74879539242),52,52,3,5,22
0214,014,0214014,1342 JONES ST,"1342 JONES ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.414149703977 37.793781201941),16,16,6,3,21
0820,004,0820004,618 FELL ST,"618 FELL ST, SAN FRANCISCO CA",3,"Work Complete, No CFC Issued yet",5,POINT (-122.428269746246 37.775513551754),22,22,4,11,9
1253,050,1253050,709 CLAYTON ST,"709 CLAYTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.448609394284 37.76851686683),29,29,7,11,3
0793,019,0793019,492 GROVE ST,"492 GROVE ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",5,POINT (-122.424683001353 37.777813378759),22,22,4,11,9
1386,034,1386034,234 27TH AV,"234 27TH AV, SAN FRANCISCO CA",3,Non-Compliant,2,POINT (-122.486907860908 37.784971457915),2,2,8,6,29
0074,009,0074009,860 GREENWICH ST,"860 GREENWICH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.414002187391 37.801939951322),107,107,6,3,32
1227,028,1227028,2065 OAK ST,"2065 OAK ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5,POINT (-122.453289718719 37.770822976303),25,25,7,11,3
1378,032,1378032,1733 LAKE ST,"1733 LAKE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.478247043154 37.785811741609),2,2,8,4,29
4715,014,4715014,1210 OAKDALE AV,"1210 OAKDALE AV, SAN FRANCISCO CA",3,Non-Compliant,10,POINT (-122.382830116788 37.730674757459),86,86,2,9,1
3609,022,3609022,3256 21ST ST,"3256 21ST ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.420221630303 37.757161121111),53,53,3,2,20
0220,008,0220008,1300 SACRAMENTO ST,"1300 SACRAMENTO ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.414600705161 37.792442053831),16,16,6,3,21
1508,026,1508026,7201 GEARY BL,"7201 GEARY BL, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.496770848363 37.779302173365),8,8,8,4,29
0505,001A,0505001A,2941 GOUGH ST,"2941 GOUGH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.428107111333 37.800493732712),15,15,4,6,13
2805,007,2805007,650 DIAMOND ST,"650 DIAMOND ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.43666321622 37.752076525974),84,84,3,5,22
2636,001,2636001,1585 05TH AV,"1585 05TH AV, SAN FRANCISCO CA",3,Non-Compliant,7,POINT (-122.460153930864 37.759735151858),110,110,7,8,14
1026,030,1026030,2051 SCOTT ST,"2051 SCOTT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.439168160292 37.788895769265),102,102,4,6,30
1039,026,1039026,80 PALM AV,"80 PALM AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.457605185942 37.784325520654),11,11,8,6,31
0844,036,0844036,748 PAGE ST,"748 PAGE ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",5,POINT (-122.433147821158 37.773063580805),26,26,4,11,3
1688,020,1688020,6900 FULTON ST,"6900 FULTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.505878036959 37.771726651937),8,8,8,4,29
0807,004,0807004,500 HAYES ST,"500 HAYES ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",5,POINT (-122.424911698507 37.776815866196),22,22,4,11,9
0147,001,0147001,1355 STOCKTON ST,"1355 STOCKTON ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.408997610054 37.798359073569),106,106,6,3,6
2845,002,2845002,88 CRESTLINE DR,"88 CRESTLINE DR, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.446259794862 37.752265866484),51,51,7,5,38
0650,008,0650008,1920 PINE ST,"1920 PINE ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.428114080251 37.788939827022),102,102,4,11,30
0159,001,0159001,1351 POWELL ST,"1351 POWELL ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.410491257896 37.797109614194),107,107,6,3,6
0191,008A,0191008A,1030 WASHINGTON ST,"1030 WASHINGTON ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.4102982914 37.794828617495),16,16,6,3,6
1082,003,1082003,2 LEONA TR,"2 LEONA TR, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.445011987635 37.783169303212),103,103,8,6,31
0124,030,0124030,2120 LARKIN ST,"2120 LARKIN ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.420072099549 37.797473034558),107,107,6,3,32
1067,049,1067049,335 EUCLID AV,"335 EUCLID AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.451702010838 37.783847005266),11,11,8,6,31
1637,021,1637021,670 08TH AV,"670 08TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.465732136023 37.775860997308),5,5,8,4,11
0804,002,0804002,643 WEBSTER ST,"643 WEBSTER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.429971780317 37.776671429965),22,22,4,11,9
3589,016,3589016,2284 MISSION ST,"2284 MISSION ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.419513351645 37.760470813939),53,53,3,2,20
0826,023,0826023,880 OAK ST,"880 OAK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.433804735964 37.773820309009),26,26,4,11,9
0063,005,0063005,1929 STOCKTON ST,"1929 STOCKTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.410093834237 37.803631359119),106,106,6,3,23
7554,103,7554103,5645 DIAMOND HEIGHTS,"5645 DIAMOND HEIGHTS, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.438958572983 37.738080004703),96,96,9,5,10
0638,012,0638012,2245 SACRAMENTO ST,"2245 SACRAMENTO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.429942904267 37.790079080739),102,102,4,6,30
0188,043,0188043,1441 JONES ST,"1441 JONES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.415103513681 37.794563946403),16,16,6,3,21
1408,027,1408027,356 26TH AV,"356 26TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.485676254473 37.782746304204),8,8,8,4,29
0672,014,0672014,1661 BUSH ST,"1661 BUSH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.424466079225 37.78790189364),100,100,4,6,39
3544,074,3544074,627 14TH ST,"627 14TH ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",8,POINT (-122.42726488393 37.767594962058),37,37,3,5,5
3730,094,3730094,24 LANGTON ST,"24 LANGTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",6,POINT (-122.409566590585 37.777042509431),32,32,1,10,34
0521,006,0521006,1630 FILBERT ST,"1630 FILBERT ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",2,POINT (-122.426464984911 37.7995040132),15,15,4,6,13
0474,003A,0474003A,3015 VAN NESS AVE,"3015 VAN NESS AVE, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.425407758715 37.803472915749),17,17,4,6,13
3533,021,3533021,460 14TH ST,"460 14TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.42352642061 37.768280790908),37,37,3,5,20
0620,024,0620024,1649 WASHINGTON ST,"1649 WASHINGTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.420435576055 37.79309060095),105,105,4,3,32
1007,018,1007018,332 PRESIDIO AV,"332 PRESIDIO AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.446763158155 37.788627309988),10,10,8,6,31
1411,010,1411010,2118 CLEMENT ST,"2118 CLEMENT ST, SAN FRANCISCO CA",4,Non-Compliant,1,POINT (-122.48208767675 37.7823930133),8,8,8,4,29
1232,004,1232004,1157 MASONIC AV,"1157 MASONIC AV, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",5,POINT (-122.44569952048 37.770399689937),25,25,7,11,3
3605,073,3605073,3600 21ST ST,"3600 21ST ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.42824374102 37.756716733107),52,52,3,5,5
6692,001,6692001,3800 MISSION ST,"3800 MISSION ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.42484234194 37.7358486457),93,93,9,5,2
6580,026,6580026,1351 NOE ST,"1351 NOE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.431270694403 37.747201088571),84,84,9,5,22
0133,029,0133029,383 GREEN ST,"383 GREEN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.405502578363 37.799771696398),18,18,6,3,23
1690,037,1690037,800 48TH AV,"800 48TH AV, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.508763065228 37.773080282906),8,8,8,4,29
1102,001,1102001,1261 BRODERICK ST,"1261 BRODERICK ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.441152643829 37.78202070645),13,13,7,6,39
3731,054A,3731054A,70 MOSS ST,"70 MOSS ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",6,POINT (-122.407949839452 37.777465811625),32,32,1,10,34
3516,018,3516018,1582 FOLSOM ST,"1582 FOLSOM ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",6,POINT (-122.415109794322 37.77114188186),32,32,1,10,20
0218,016,0218016,1516 LARKIN ST,"1516 LARKIN ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.41896981152 37.792035522666),16,16,6,3,21
0438A,007,0438A007,3755 FILLMORE ST,"3755 FILLMORE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.437616381138 37.805270880675),17,17,4,6,13
3544,001,3544001,100 DOLORES ST,"100 DOLORES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.427058671016 37.767716865162),37,37,3,5,5
1848,005,1848005,1417 05TH AV,"1417 05TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.462197275735 37.761930778503),109,109,7,11,14
1167,003,1167003,229 WILLARD ST,"229 WILLARD ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.456844610193 37.77588335706),12,12,8,4,18
1471,023A,1471023A,7550 GEARY BL,"7550 GEARY BL, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.500497536709 37.779678750067),8,8,8,4,29
3556,001,3556001,1801 15TH ST,"1801 15TH ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.424521639301 37.766259278868),37,37,3,5,20
1023,016,1023016,3048 CALIFORNIA ST,"3048 CALIFORNIA ST, SAN FRANCISCO CA",3,Non-Compliant,2,POINT (-122.44467609907 37.787823454022),102,102,8,6,30
1372,053,1372053,1103 LAKE ST,"1103 LAKE ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",1,POINT (-122.471286526 37.786168540679),5,5,8,4,11
1185,020,1185020,1690 GROVE ST,"1690 GROVE ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.444466401463 37.775336840758),24,24,7,11,18
1529,006,1529006,449 15TH AV,"449 15TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.474247999192 37.77944334544),5,5,8,4,29
3569,044,3569044,535 VALENCIA ST,"535 VALENCIA ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",9,POINT (-122.421563293205 37.76430543491),53,53,3,2,20
3557,156,3557156,3330 16TH ST,"3330 16TH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.427141767364 37.764815677335),37,37,3,5,5
4100,045,4100045,695 CONNECTICUT ST,"695 CONNECTICUT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",10,POINT (-122.39675408785 37.757618664023),54,54,2,9,26
1055,011,1055011,750 PRESIDIO AV,"750 PRESIDIO AV, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,POINT (-122.446064260587 37.784712275339),103,103,8,6,31
0214,007,0214007,1216 CLAY ST,"1216 CLAY ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.413276518894 37.793544449371),16,16,6,3,21
0118,001,0118001,701 UNION ST,"701 UNION ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.411033169115 37.800051784312),107,107,6,3,6
1413,017,1413017,279 20TH AV,"279 20TH AV, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.479881404233 37.782736213065),8,8,8,4,29
0644,018,0644018,1677 SACRAMENTO ST,"1677 SACRAMENTO ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.420373415959 37.791299198464),105,105,4,3,21
1198,018,1198018,1670 HAYES ST,"1670 HAYES ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.443959954774 37.774497487344),24,24,7,11,18
3533,063,3533063,157 DUBOCE AV,"157 DUBOCE AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.423646359911 37.769562991225),37,37,3,5,20
0548,025A,0548025A,1335 UNION ST,"1335 UNION ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.421309049264 37.798613322441),105,105,4,3,32
1167,041,1167041,2845 GOLDEN GATE AV,"2845 GOLDEN GATE AV, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.457330540596 37.776047700735),12,12,8,4,18
0522,009,0522009,2736 FRANKLIN ST,"2736 FRANKLIN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.425636703167 37.799865199294),15,15,4,6,13
3607,050,3607050,160 LIBERTY ST,"160 LIBERTY ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.424756347024 37.757731247703),52,52,3,5,20
3639,034,3639034,2913 22ND ST,"2913 22ND ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.412940495397 37.755651024564),53,53,3,2,20
3630,024,3630024,165 CHATTANOOGA ST,"165 CHATTANOOGA ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.426213442834 37.753868801754),52,52,3,5,22
7098,001E,7098001E,11 NAGLEE AV,"11 NAGLEE AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",11,POINT (-122.446491417064 37.711647459752),66,66,9,1,28
6621,045,6621045,2211 CASTRO ST,"2211 CASTRO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.433035191203 37.743784238624),84,84,9,5,22
1409,015,1409015,365 24TH AV,"365 24TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.484172264035 37.782609363238),8,8,8,4,29
1245,017,1245017,652 CLAYTON ST,"652 CLAYTON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.448169036365 37.769148320775),25,25,7,11,3
7546,102,7546102,130 BEMIS ST,"130 BEMIS ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.43193024549 37.737305700254),59,59,9,5,10
0523,044,0523044,2507 POLK ST,"2507 POLK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.422835689644 37.799873472506),107,107,4,6,32
1212,014,1212014,2070 FELL ST,"2070 FELL ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.451942207053 37.77252763458),24,24,7,11,18
1179,024B,1179024B,1629 MCALLISTER ST,"1629 MCALLISTER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.438976223726 37.777429880209),97,97,7,11,39
1204,020,1204020,400 BRODERICK ST,"400 BRODERICK ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.43900360596 37.774011649673),24,24,7,11,9
0092,017,0092017,2100 JONES ST,"2100 JONES ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.415793391487 37.800759345921),107,107,6,3,32
1593,032,1593032,4640 BALBOA ST,"4640 BALBOA ST, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.508779933471 37.775368309862),6,6,8,4,29
1236,008,1236008,101 BRODERICK ST,"101 BRODERICK ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.438970148407 37.771273668472),112,112,7,11,3
0611,020,0611020,2332 STEINER ST,"2332 STEINER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.435648508004 37.791032591842),102,102,4,6,30
3542,028,3542028,101 SANCHEZ ST,"101 SANCHEZ ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,POINT (-122.430822055524 37.767457346411),28,28,7,5,5
1232,021,1232021,506 ASHBURY ST,"506 ASHBURY ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.446811917931 37.770779379605),25,25,7,11,3
3548,050,3548050,1341 MINNA ST,"1341 MINNA ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",9,POINT (-122.418962252633 37.767640116559),53,53,3,2,20
0188,015,0188015,1430 LEAVENWORTH ST,"1430 LEAVENWORTH ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",3,POINT (-122.416020498854 37.794333136791),16,16,6,3,21
0596,020,0596020,1580 JACKSON ST,"1580 JACKSON ST, SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3,POINT (-122.421101504974 37.794455626255),105,105,4,3,32
1226,005,1226005,455 COLE ST,"455 COLE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.450627275869 37.770728995134),25,25,7,11,3
1222,013,1222013,1458 PAGE ST,"1458 PAGE ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.444785099539 37.771524998572),25,25,7,11,3
0597,022,0597022,1535 JACKSON ST,"1535 JACKSON ST, SAN FRANCISCO CA",1,Non-Compliant,3,POINT (-122.42036343887 37.79399945816),105,105,4,3,32
1217,020,1217020,300 DIVISADERO ST,"300 DIVISADERO ST, SAN FRANCISCO CA",4,Non-Compliant,5,POINT (-122.43694295542 37.772406314626),26,26,4,11,3
2717,057,2717057,10 GLENDALE ST,"10 GLENDALE ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.442591525743 37.75655825392),47,47,7,5,5
1062,050,1062050,100 PALM AV,"100 PALM AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.457605353818 37.783732706655),11,11,8,6,31
1545,041,1545041,538 03RD AV,"538 03RD AV, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",1,POINT (-122.460548050384 37.778498892593),5,5,8,4,11
0777,005,0777005,1100 FULTON ST,"1100 FULTON ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.435106702188 37.777496208868),23,23,4,11,39
3598,057,3598057,90 CUMBERLAND ST,"90 CUMBERLAND ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.425525115262 37.759226293852),37,37,3,5,20
0105,051,0105051,100 ALTA ST,"100 ALTA ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.404797065105 37.80160208464),18,18,6,3,23
3515,001,3515001,1601 HOWARD ST,"1601 HOWARD ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",6,POINT (-122.416791339393 37.771392634101),32,32,1,10,20
0453,003B,0453003B,910 BAY ST,"910 BAY ST, SAN FRANCISCO CA",3,Non-Compliant,2,POINT (-122.422200699019 37.80476029887),98,98,6,6,32
4146,015,4146015,980 FLORIDA ST,"980 FLORIDA ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",9,POINT (-122.410590696081 37.756208229514),53,53,3,2,20
0500,022A,0500022A,1175 CHESTNUT ST,"1175 CHESTNUT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.422514531717 37.802256259083),107,107,4,6,32
3608,060,3608060,3659 20TH ST,"3659 20TH ST, SAN FRANCISCO CA",3,Non-Compliant,8,POINT (-122.422718791163 37.758168540227),52,52,3,5,20
0589,012,0589012,2280 JACKSON ST,"2280 JACKSON ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.432528080927 37.792987300397),102,102,4,6,30
0579,021,0579021,2160 PACIFIC AV,"2160 PACIFIC AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.430861028935 37.794115399019),102,102,4,6,30
6122,021,6122021,3070 SAN BRUNO AV,"3070 SAN BRUNO AV, SAN FRANCISCO CA",2,Non-Compliant,9,POINT (-122.402031903019 37.723027174221),91,91,2,2,25
0129,017,0129017,880 VALLEJO ST,"880 VALLEJO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.411741929254 37.798384934249),107,107,6,3,6
1013,002,1013002,325 MAPLE ST,"325 MAPLE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.455642304076 37.787576611843),10,10,8,6,31
0132,044,0132044,423 GREEN ST,"423 GREEN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.406226671902 37.79967294568),106,106,6,3,23
7535,100,7535100,1 GOLD MINE DR,"1 GOLD MINE DR, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",8,POINT (-122.436490180621 37.743413834407),57,57,9,5,22
1730,008,1730008,1245 20TH AV,"1245 20TH AV, SAN FRANCISCO CA",3,Non-Compliant,4,POINT (-122.478596084075 37.764538247847),39,39,10,7,35
1855,001,1855001,1511 09TH AV,"1511 09TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",7,POINT (-122.466210163969 37.760056953314),109,109,10,8,14
0247,026,0247026,1369 SACRAMENTO ST,"1369 SACRAMENTO ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.415352512775 37.792016406764),16,16,6,3,21
